,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
141,Austria,Operator Holding Account,EVN Wärmekraftwerke GmbH,135,EVN Kraftwerk Dürnrohr,FN 213432 x,EEW004,2005-04-04,Combustion of fuels,A
142,Austria,Operator Holding Account,EVN Wärmekraftwerke GmbH,136,EVN Kraftwerk Korneuburg,FN 213432 x,EEW005,2005-03-25,Combustion of fuels,A
143,Austria,Operator Holding Account,EVN Wärme GmbH,137,EVN BHKW Krankenhaus Mistelbach,FN 307421 s,EEW018,2004-12-27,Combustion of fuels,A
144,Austria,Operator Holding Account,W. Hamburger GmbH,138,Papierfabrik Hamburger Pitten,FN 174465t,IPA082,2004-01-01,Production of paper or cardboard,A
145,Austria,Operator Holding Account,voestalpine BÖHLER Edelstahl GmbH & Co KG,140,Verbrennungsanlagen Böhler Edelstahl Kapfenberg,FN 294435 v,IES068,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
146,Austria,Operator Holding Account,voestalpine BÖHLER Edelstahl GmbH & Co KG,139,Stahlproduktion Böhler Edelstahl Kapfenberg,FN 294435 v,IES067,2004-01-01,Production of pig iron or steel,A
147,Austria,Operator Holding Account,Ziegelwerk Pichler Wels Gesellschaft m.b.H.,141,Ziegelwerk Pichler Neuhofen,FN 283213 s,IZI153,2004-01-02,Manufacture of ceramics,A
148,Austria,Operator Holding Account,Jungbunzlauer Austria AG,142,Jungbunzlauer Wulzeshofen,FN 111075 x,ICH107,2004-01-01,Combustion of fuels,A
149,Austria,Operator Holding Account,Chamottewaren- und Thonöfenfabrik Aug. Rath  jun. GmbH,143,Aug. Rath jun. GmbH,FN 82124x,IFE129,2004-01-01,Manufacture of ceramics,A
150,Austria,Operator Holding Account,W. Hamburger GmbH,144,Mondi Packaging Frohnleiten,FN 174465t,IPA093,2004-01-01,Production of paper or cardboard,A
151,Austria,Operator Holding Account,GasserKunert GmbH,145,Kunert Rankweil,FN 357610y,ICH205,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,A
152,Austria,Operator Holding Account,Leitl Spannton Gesellschaft m.b.H.,146,Leitl Spannton GmbH,FN 79245 M,IZI149,2004-01-02,Manufacture of ceramics,A
153,Austria,Operator Holding Account,Lenzing AG,147,Lenzing AG - Energieanlagen,FN 96 499 K,ICH117,2004-01-01,Production of pulp,A
154,Austria,Operator Holding Account,Ganahl Aktiengesellschaft,167,Rondo Ganahl Frastanz,FN 64499 b,IPA081,2004-01-01,Production of paper or cardboard,A
155,Austria,Operator Holding Account,Brau Union Österreich Aktiengesellschaft,175,Brau Union Puntigam Graz,FN 77559 h,ILE171,2005-02-17,Combustion installations with a rated thermal input exceeding 20 MW,A
156,Austria,Operator Holding Account,Brau Union Österreich Aktiengesellschaft,176,Brau Union Göss Leoben,FN 77559 h,ILE170,2005-07-05,Combustion installations with a rated thermal input exceeding 20 MW,A
